None,date,ticker,adj_close
0,2017-12-29,GOOGL,1053.4
1,2017-12-28,GOOGL,1055.95
2,2017-12-27,GOOGL,1060.2
3,2017-12-26,GOOGL,1065.85
4,2017-12-22,GOOGL,1068.86
5,2017-12-21,GOOGL,1070.85
6,2017-12-20,GOOGL,1073.56
7,2017-12-19,GOOGL,1079.78
8,2017-12-18,GOOGL,1085.09
9,2017-12-15,GOOGL,1072.0
10,2017-12-14,GOOGL,1057.47
11,2017-12-13,GOOGL,1051.39
12,2017-12-12,GOOGL,1048.77
13,2017-12-11,GOOGL,1051.97
14,2017-12-08,GOOGL,1049.38
15,2017-12-07,GOOGL,1044.57
16,2017-12-06,GOOGL,1032.72
17,2017-12-05,GOOGL,1019.6
18,2017-12-04,GOOGL,1011.87
19,2017-12-01,GOOGL,1025.07
20,2017-11-30,GOOGL,1036.17
21,2017-11-29,GOOGL,1037.38
22,2017-11-28,GOOGL,1063.29
23,2017-11-27,GOOGL,1072.01
24,2017-11-24,GOOGL,1056.52
25,2017-11-22,GOOGL,1051.92
26,2017-11-21,GOOGL,1050.3
27,2017-11-20,GOOGL,1034.66
28,2017-11-17,GOOGL,1035.89
29,2017-11-16,GOOGL,1048.47
30,2017-11-15,GOOGL,1036.41
31,2017-11-14,GOOGL,1041.64
32,2017-11-13,GOOGL,1041.2
33,2017-11-10,GOOGL,1044.15
34,2017-11-09,GOOGL,1047.72
35,2017-11-07,GOOGL,1052.39
36,2017-11-06,GOOGL,1042.68
37,2017-11-03,GOOGL,1049.99
38,2017-11-02,GOOGL,1042.97
39,2017-11-01,GOOGL,1042.6
40,2017-10-31,GOOGL,1033.04
41,2017-10-30,GOOGL,1033.13
42,2017-10-27,GOOGL,1033.67
43,2017-10-26,GOOGL,991.42
44,2017-10-25,GOOGL,991.46
45,2017-10-24,GOOGL,988.49
46,2017-10-23,GOOGL,985.54
47,2017-10-20,GOOGL,1005.07
48,2017-10-19,GOOGL,1001.84
49,2017-10-18,GOOGL,1012.74
50,2017-10-17,GOOGL,1011.0
51,2017-10-16,GOOGL,1009.35
52,2017-10-13,GOOGL,1007.87
53,2017-10-12,GOOGL,1005.65
54,2017-10-11,GOOGL,1005.65
55,2017-10-10,GOOGL,987.8
56,2017-10-09,GOOGL,992.31
57,2017-10-06,GOOGL,993.64
58,2017-10-05,GOOGL,985.19
59,2017-10-04,GOOGL,966.78
60,2017-10-03,GOOGL,972.08
61,2017-10-02,GOOGL,967.47
62,2017-09-29,GOOGL,973.72
63,2017-09-28,GOOGL,964.81
64,2017-09-27,GOOGL,959.9
65,2017-09-26,GOOGL,937.43
66,2017-09-25,GOOGL,934.28
67,2017-09-22,GOOGL,943.26
68,2017-09-21,GOOGL,947.55
69,2017-09-20,GOOGL,947.54
70,2017-09-19,GOOGL,936.86
71,2017-09-18,GOOGL,929.75
72,2017-09-15,GOOGL,935.29
73,2017-09-14,GOOGL,940.13
74,2017-09-13,GOOGL,950.44
75,2017-09-12,GOOGL,946.65
76,2017-09-11,GOOGL,943.29
77,2017-09-08,GOOGL,941.41
78,2017-09-07,GOOGL,949.89
79,2017-09-06,GOOGL,942.02
80,2017-09-05,GOOGL,941.48
81,2017-09-01,GOOGL,951.99
82,2017-08-31,GOOGL,955.24
83,2017-08-30,GOOGL,943.63
84,2017-08-29,GOOGL,935.75
85,2017-08-28,GOOGL,928.13
86,2017-08-25,GOOGL,930.5
87,2017-08-24,GOOGL,936.89
